"dataset","run","target","link","test_count","summary_path","element_extractor","llm_element_metrics","node_f1","relation_f1","llm_node_f1","llm_relation_f1","last_write_time"
"fsd","2026-06-12__17-03-44__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__17-03-44__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__17-03-44__test-fsd","10",,,"True",,,,,"2026-06-12 17:04:31"
"fsd","2026-06-12__17-04-55__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__17-04-55__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__17-04-55__test-fsd","10","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__17-04-55__test-fsd\test_summary.json",,"True","0.290210569587776","0.140482782394483","0.75964","0.44171","2026-06-12 17:39:58"
"fsd","2026-06-12__18-21-55__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__18-21-55__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__18-21-55__test-fsd","116",,,"True",,,,,"2026-06-12 19:16:19"
"fsd","2026-06-12__19-30-02__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__19-30-02__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__19-30-02__test-fsd","116","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__19-30-02__test-fsd\test_summary.json",,"False","0.426456777037056","0.25643654028138","0","0","2026-06-12 19:56:58"
"fsd","2026-06-12__20-25-46__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__20-25-46__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__20-25-46__test-fsd","116","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__20-25-46__test-fsd\test_summary.json",,"False","0.43485542031867","0.25168831550487","0","0","2026-06-12 21:04:23"
"fsd","2026-06-12__21-26-35__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__21-26-35__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-12__21-26-35__test-fsd","116","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-12__21-26-35__test-fsd\test_summary.json",,"False","0.312451855181964","0.167872513183585","0","0","2026-06-12 21:50:14"
"fsd","2026-06-13__00-46-13__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__00-46-13__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-13__00-46-13__test-fsd","116","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__00-46-13__test-fsd\test_summary.json",,"False","0.295974763040706","0.143265203191053","0","0","2026-06-13 01:18:41"
"fsd","2026-06-13__01-43-02__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__01-43-02__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-13__01-43-02__test-fsd","116","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__01-43-02__test-fsd\test_summary.json",,"False","0.448350524485132","0.290550989245036","0","0","2026-06-13 02:08:16"
"fsd","2026-06-13__02-14-30__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__02-14-30__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-13__02-14-30__test-fsd","116","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__02-14-30__test-fsd\test_summary.json",,"False","0.447531183802747","0.294555712824382","0","0","2026-06-13 02:53:20"
"fsd","2026-06-13__02-55-25__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__02-55-25__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-13__02-55-25__test-fsd","116","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__02-55-25__test-fsd\test_summary.json",,"False","0.42756074610599","0.278908238966985","0","0","2026-06-13 03:32:30"
"fsd","2026-06-13__14-34-47__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__14-34-47__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-13__14-34-47__test-fsd","116",,,"False",,,,,"2026-06-13 17:12:52"
"fsd","2026-06-13__17-36-36__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__17-36-36__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-13__17-36-36__test-fsd","116",,,"False",,,,,"2026-06-13 17:42:06"
"fsd","2026-06-13__17-50-37__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__17-50-37__test-fsd","D:\now_to_use\work4icse\rq1\ape\prompt_runs_by_dataset\fsd\2026-06-13__17-50-37__test-fsd","116","D:\now_to_use\work4icse\rq1\ape\prompt_runs\2026-06-13__17-50-37__test-fsd\test_summary.json",,"False","0.452699815818102","0.292748286270598","0","0","2026-06-13 18:44:57"
